City,Date,Month,Predicted Temperature (°C),Predicted Units Consumed (kWh)
Jabalpur,2025-11-16,November,20.68,385.64
Jabalpur,2025-11-17,November,26.17,350.97
Jabalpur,2025-11-18,November,22.51,440.38
Jabalpur,2025-11-19,November,24.3,457.16
Jabalpur,2025-11-20,November,25.55,455.63
Jabalpur,2025-11-21,November,21.16,461.57
Jabalpur,2025-11-22,November,24.54,393.54
Jabalpur,2025-11-23,November,22.47,474.35
Jabalpur,2025-11-24,November,26.36,442.11
Jabalpur,2025-11-25,November,21.25,437.62
Jabalpur,2025-11-26,November,26.26,400.49
Jabalpur,2025-11-27,November,20.14,461.78
Jabalpur,2025-11-28,November,24.12,369.52
Jabalpur,2025-11-29,November,20.17,411.96
Jabalpur,2025-11-30,November,26.35,450.78
Jabalpur,2025-12-01,December,25.8,432.63
Jabalpur,2025-12-02,December,21.62,404.12
Jabalpur,2025-12-03,December,23.8,384.51
Jabalpur,2025-12-04,December,21.2,443.5
Jabalpur,2025-12-05,December,20.86,370.94
Jabalpur,2025-12-06,December,26.45,368.4
Jabalpur,2025-12-07,December,24.78,436.83
Jabalpur,2025-12-08,December,25.05,406.55
Jabalpur,2025-12-09,December,25.83,390.05
Jabalpur,2025-12-10,December,26.75,440.95
Jabalpur,2025-12-11,December,26.74,407.28
Jabalpur,2025-12-12,December,24.03,475.54
Jabalpur,2025-12-13,December,26.54,368.4
Jabalpur,2025-12-14,December,23.34,489.74
Jabalpur,2025-12-15,December,25.08,354.76
Jabalpur,2025-12-16,December,21.67,350.45
Jabalpur,2025-12-17,December,24.29,484.72
Jabalpur,2025-12-18,December,25.16,486.69
Jabalpur,2025-12-19,December,22.23,393.04
Jabalpur,2025-12-20,December,25.69,450.86
Jabalpur,2025-12-21,December,25.37,412.84
Jabalpur,2025-12-22,December,20.72,359.21
Jabalpur,2025-12-23,December,26.54,487.76
Jabalpur,2025-12-24,December,27.22,407.5
Jabalpur,2025-12-25,December,23.68,361.97
Jabalpur,2025-12-26,December,23.21,489.92
Jabalpur,2025-12-27,December,24.05,365.64
Jabalpur,2025-12-28,December,27.24,378.95
Jabalpur,2025-12-29,December,23.45,433.33
Jabalpur,2025-12-30,December,27.52,444.32
Jabalpur,2025-12-31,December,21.38,448.72
Ujjain,2025-01-01,January,23.14,464.03
Ujjain,2025-01-02,January,22.12,406.88
Ujjain,2025-01-03,January,22.13,372.79
Ujjain,2025-01-04,January,20.73,493.41
Ujjain,2025-01-05,January,22.61,364.49
Ujjain,2025-01-06,January,26.45,427.67
Ujjain,2025-01-07,January,27.23,480.79
Ujjain,2025-01-08,January,23.98,357.74
Ujjain,2025-01-09,January,20.18,421.8
Ujjain,2025-01-10,January,21.86,402.21
Ujjain,2025-01-11,January,23.09,483.41
Ujjain,2025-01-12,January,25.03,429.38
Ujjain,2025-01-13,January,20.9,448.72
Ujjain,2025-01-14,January,22.78,481.69
Ujjain,2025-01-15,January,21.35,379.02
Ujjain,2025-01-16,January,27.0,464.38
Ujjain,2025-01-17,January,22.18,495.22
Ujjain,2025-01-18,January,21.2,477.07
Ujjain,2025-01-19,January,24.92,422.76
Ujjain,2025-01-20,January,25.9,381.08
Ujjain,2025-01-21,January,26.05,362.45
Ujjain,2025-01-22,January,25.45,411.65
Ujjain,2025-01-23,January,24.72,381.24
Ujjain,2025-01-24,January,24.54,378.55
Ujjain,2025-01-25,January,22.22,476.74
Ujjain,2025-01-26,January,22.57,487.54
Ujjain,2025-01-27,January,25.84,379.42
Ujjain,2025-01-28,January,26.55,430.6
Ujjain,2025-01-29,January,23.91,460.6
Ujjain,2025-01-30,January,22.42,383.2
Ujjain,2025-01-31,January,20.6,371.52
Ujjain,2025-02-01,February,25.79,402.62
Ujjain,2025-02-02,February,22.46,459.6
Ujjain,2025-02-03,February,26.5,484.57
Ujjain,2025-02-04,February,22.8,428.62
Ujjain,2025-02-05,February,27.04,438.02
Ujjain,2025-02-06,February,21.87,390.69
Ujjain,2025-02-07,February,24.64,412.41
Ujjain,2025-02-08,February,23.61,352.19
Ujjain,2025-02-09,February,24.92,411.01
Ujjain,2025-02-10,February,26.36,482.01
Ujjain,2025-02-11,February,25.15,359.38
Ujjain,2025-02-12,February,27.02,376.49
Ujjain,2025-02-13,February,22.16,433.82
Ujjain,2025-02-14,February,24.64,449.31
Ujjain,2025-02-15,February,22.11,352.44
Ujjain,2025-02-16,February,22.85,465.31
Ujjain,2025-02-17,February,22.0,367.7
Ujjain,2025-02-18,February,27.35,489.11
Ujjain,2025-02-19,February,27.63,490.17
Ujjain,2025-02-20,February,23.51,492.9
Ujjain,2025-02-21,February,23.35,432.01
Ujjain,2025-02-22,February,26.57,433.22
Ujjain,2025-02-23,February,20.45,362.32
Ujjain,2025-02-24,February,20.69,377.55
Ujjain,2025-02-25,February,22.26,354.35
Ujjain,2025-02-26,February,25.68,423.88
Ujjain,2025-02-27,February,26.58,408.5
Ujjain,2025-02-28,February,25.49,494.25
Ujjain,2025-03-01,March,29.27,557.72
Ujjain,2025-03-02,March,32.51,471.04
Ujjain,2025-03-03,March,29.09,548.29
Ujjain,2025-03-04,March,34.86,586.01
Ujjain,2025-03-05,March,30.75,593.39
Ujjain,2025-03-06,March,34.66,524.69
Ujjain,2025-03-07,March,28.21,453.24
Ujjain,2025-03-08,March,28.11,475.06
Ujjain,2025-03-09,March,30.39,481.82
Ujjain,2025-03-10,March,33.23,559.98
Ujjain,2025-03-11,March,28.73,497.99
Ujjain,2025-03-12,March,30.77,506.37
Ujjain,2025-03-13,March,32.88,486.13
Ujjain,2025-03-14,March,33.76,579.59
Ujjain,2025-03-15,March,28.98,516.47
Ujjain,2025-03-16,March,34.25,535.24
Ujjain,2025-03-17,March,30.8,456.0
Ujjain,2025-03-18,March,33.58,490.63
Ujjain,2025-03-19,March,33.56,506.02
Ujjain,2025-03-20,March,32.97,541.05
Ujjain,2025-03-21,March,29.83,540.72
Ujjain,2025-03-22,March,29.14,547.13
Ujjain,2025-03-23,March,32.67,595.4
Ujjain,2025-03-24,March,31.23,562.25
Ujjain,2025-03-25,March,33.08,588.21
Ujjain,2025-03-26,March,34.5,558.92
Ujjain,2025-03-27,March,30.33,559.97
Ujjain,2025-03-28,March,33.58,505.98
Ujjain,2025-03-29,March,28.91,518.14
Ujjain,2025-03-30,March,31.06,554.04
Ujjain,2025-03-31,March,31.91,455.42
Ujjain,2025-04-01,April,39.42,741.46
Ujjain,2025-04-02,April,42.97,635.47
Ujjain,2025-04-03,April,38.1,711.63
Ujjain,2025-04-04,April,37.3,725.71
Ujjain,2025-04-05,April,38.94,642.11
Ujjain,2025-04-06,April,35.27,654.29
Ujjain,2025-04-07,April,34.56,714.8
Ujjain,2025-04-08,April,40.16,577.92
Ujjain,2025-04-09,April,41.82,579.38
Ujjain,2025-04-10,April,40.24,624.49
Ujjain,2025-04-11,April,40.89,699.63
Ujjain,2025-04-12,April,34.16,716.55
Ujjain,2025-04-13,April,43.13,671.42
Ujjain,2025-04-14,April,42.41,645.96
Ujjain,2025-04-15,April,41.86,738.97
Ujjain,2025-04-16,April,37.37,655.64
Ujjain,2025-04-17,April,34.94,661.63
Ujjain,2025-04-18,April,42.96,604.88
Ujjain,2025-04-19,April,42.8,713.76
Ujjain,2025-04-20,April,36.01,569.08
Ujjain,2025-04-21,April,39.53,635.16
Ujjain,2025-04-22,April,38.94,596.17
Ujjain,2025-04-23,April,35.28,710.31
Ujjain,2025-04-24,April,39.2,690.76
Ujjain,2025-04-25,April,38.21,648.18
Ujjain,2025-04-26,April,36.13,748.36
Ujjain,2025-04-27,April,43.11,642.53
Ujjain,2025-04-28,April,34.26,593.16
Ujjain,2025-04-29,April,37.47,697.38
Ujjain,2025-04-30,April,40.39,671.1
Ujjain,2025-05-01,May,34.82,699.55
Ujjain,2025-05-02,May,39.31,669.89
Ujjain,2025-05-03,May,43.65,715.87
Ujjain,2025-05-04,May,37.22,642.85
Ujjain,2025-05-05,May,42.31,631.21
Ujjain,2025-05-06,May,41.66,676.38
Ujjain,2025-05-07,May,41.0,730.63
Ujjain,2025-05-08,May,38.84,735.65
Ujjain,2025-05-09,May,41.09,587.66
Ujjain,2025-05-10,May,40.61,577.79
Ujjain,2025-05-11,May,38.94,567.53
Ujjain,2025-05-12,May,42.52,652.64
Ujjain,2025-05-13,May,40.58,572.75
Ujjain,2025-05-14,May,43.04,737.28
Ujjain,2025-05-15,May,36.99,682.26
Ujjain,2025-05-16,May,38.12,552.05
Ujjain,2025-05-17,May,34.56,710.55
Ujjain,2025-05-18,May,36.76,682.02
Ujjain,2025-05-19,May,41.47,655.24
Ujjain,2025-05-20,May,39.57,579.97
Ujjain,2025-05-21,May,41.12,574.26
Ujjain,2025-05-22,May,42.55,703.43
Ujjain,2025-05-23,May,38.42,630.01
Ujjain,2025-05-24,May,40.83,745.62
Ujjain,2025-05-25,May,43.13,621.76
Ujjain,2025-05-26,May,41.9,637.52
Ujjain,2025-05-27,May,34.23,700.78
Ujjain,2025-05-28,May,42.58,705.91
Ujjain,2025-05-29,May,39.34,719.95
Ujjain,2025-05-30,May,39.65,715.28
Ujjain,2025-05-31,May,35.69,577.62
Ujjain,2025-06-01,June,40.48,655.78
Ujjain,2025-06-02,June,40.96,741.84
Ujjain,2025-06-03,June,42.99,640.56
Ujjain,2025-06-04,June,41.34,553.05
Ujjain,2025-06-05,June,41.74,664.93
Ujjain,2025-06-06,June,40.55,627.07
Ujjain,2025-06-07,June,38.56,557.22
Ujjain,2025-06-08,June,34.77,566.74
Ujjain,2025-06-09,June,38.98,644.5
Ujjain,2025-06-10,June,43.05,649.76
Ujjain,2025-06-11,June,42.67,698.4
Ujjain,2025-06-12,June,36.24,566.78
Ujjain,2025-06-13,June,37.65,675.27
Ujjain,2025-06-14,June,38.3,726.2
Ujjain,2025-06-15,June,37.73,591.24
Ujjain,2025-06-16,June,43.46,644.64
Ujjain,2025-06-17,June,41.45,658.56
Ujjain,2025-06-18,June,42.42,733.58
Ujjain,2025-06-19,June,43.41,558.01
Ujjain,2025-06-20,June,35.22,625.13
Ujjain,2025-06-21,June,43.87,554.89
Ujjain,2025-06-22,June,43.65,654.06
Ujjain,2025-06-23,June,37.35,713.04
Ujjain,2025-06-24,June,42.84,713.94
Ujjain,2025-06-25,June,40.83,584.46
Ujjain,2025-06-26,June,37.0,591.69
Ujjain,2025-06-27,June,36.11,601.77
Ujjain,2025-06-28,June,36.87,590.37
Ujjain,2025-06-29,June,35.48,665.2
Ujjain,2025-06-30,June,39.15,701.25
Ujjain,2025-07-01,July,43.02,603.64
Ujjain,2025-07-02,July,41.06,732.49
Ujjain,2025-07-03,July,37.5,578.79
Ujjain,2025-07-04,July,39.31,627.98
Ujjain,2025-07-05,July,37.13,588.54
Ujjain,2025-07-06,July,35.87,726.11
Ujjain,2025-07-07,July,43.59,733.25
Ujjain,2025-07-08,July,35.67,567.56
Ujjain,2025-07-09,July,34.57,579.25
Ujjain,2025-07-10,July,34.58,622.0
Ujjain,2025-07-11,July,41.47,724.02
Ujjain,2025-07-12,July,36.1,583.83
Ujjain,2025-07-13,July,34.51,584.48
Ujjain,2025-07-14,July,35.45,740.58
Ujjain,2025-07-15,July,42.22,644.21
Ujjain,2025-07-16,July,40.92,599.33
Ujjain,2025-07-17,July,39.17,607.39
Ujjain,2025-07-18,July,41.29,565.38
Ujjain,2025-07-19,July,36.72,748.68
Ujjain,2025-07-20,July,39.09,554.1
Ujjain,2025-07-21,July,42.78,608.77
Ujjain,2025-07-22,July,41.1,570.59
Ujjain,2025-07-23,July,39.62,747.41
Ujjain,2025-07-24,July,38.69,695.59
Ujjain,2025-07-25,July,34.68,662.29
Ujjain,2025-07-26,July,38.88,569.78
Ujjain,2025-07-27,July,36.05,746.81
Ujjain,2025-07-28,July,42.62,708.06
Ujjain,2025-07-29,July,43.47,573.35
Ujjain,2025-07-30,July,38.17,721.71
Ujjain,2025-07-31,July,35.32,729.49
Ujjain,2025-08-01,August,32.54,534.11
Ujjain,2025-08-02,August,30.11,498.88
Ujjain,2025-08-03,August,32.77,524.34
Ujjain,2025-08-04,August,29.36,540.19
Ujjain,2025-08-05,August,29.35,552.45
Ujjain,2025-08-06,August,31.48,538.69
Ujjain,2025-08-07,August,28.01,486.69
Ujjain,2025-08-08,August,32.64,521.95
Ujjain,2025-08-09,August,31.43,574.83
Ujjain,2025-08-10,August,34.91,481.31
Ujjain,2025-08-11,August,28.34,550.73
Ujjain,2025-08-12,August,34.81,508.68
Ujjain,2025-08-13,August,29.13,514.9
Ujjain,2025-08-14,August,33.66,512.69
Ujjain,2025-08-15,August,33.1,547.3
Ujjain,2025-08-16,August,28.88,474.54
Ujjain,2025-08-17,August,28.66,529.7
Ujjain,2025-08-18,August,34.33,594.92
Ujjain,2025-08-19,August,34.77,566.0
Ujjain,2025-08-20,August,31.99,588.76
Ujjain,2025-08-21,August,34.11,582.26
Ujjain,2025-08-22,August,29.77,518.63
Ujjain,2025-08-23,August,32.07,463.27
Ujjain,2025-08-24,August,31.47,586.39
Ujjain,2025-08-25,August,28.76,526.52
Ujjain,2025-08-26,August,30.07,510.54
Ujjain,2025-08-27,August,33.1,465.53
Ujjain,2025-08-28,August,29.09,523.73
Ujjain,2025-08-29,August,30.96,515.19
Ujjain,2025-08-30,August,34.14,477.35
Ujjain,2025-08-31,August,33.01,474.67
Ujjain,2025-09-01,September,31.24,596.04
Ujjain,2025-09-02,September,32.56,521.09
Ujjain,2025-09-03,September,30.42,508.55
Ujjain,2025-09-04,September,29.72,466.23
Ujjain,2025-09-05,September,33.17,537.99
Ujjain,2025-09-06,September,28.94,557.63
Ujjain,2025-09-07,September,29.94,467.52
Ujjain,2025-09-08,September,32.61,492.43
Ujjain,2025-09-09,September,28.03,560.41
Ujjain,2025-09-10,September,33.31,456.55
Ujjain,2025-09-11,September,29.63,562.57
Ujjain,2025-09-12,September,28.72,481.67
Ujjain,2025-09-13,September,29.12,530.33
Ujjain,2025-09-14,September,34.62,544.46
Ujjain,2025-09-15,September,33.07,498.74
Ujjain,2025-09-16,September,34.53,487.04
Ujjain,2025-09-17,September,31.8,534.98
Ujjain,2025-09-18,September,28.07,524.77
Ujjain,2025-09-19,September,32.7,541.87
Ujjain,2025-09-20,September,29.14,521.51
Ujjain,2025-09-21,September,29.5,599.97
Ujjain,2025-09-22,September,31.9,562.88
Ujjain,2025-09-23,September,33.71,579.82
Ujjain,2025-09-24,September,29.17,592.27
Ujjain,2025-09-25,September,33.99,482.97
Ujjain,2025-09-26,September,32.52,567.42
Ujjain,2025-09-27,September,31.66,596.22
Ujjain,2025-09-28,September,31.92,525.43
Ujjain,2025-09-29,September,31.49,513.42
Ujjain,2025-09-30,September,31.35,503.16
Ujjain,2025-10-01,October,24.46,407.3
Ujjain,2025-10-02,October,22.64,442.31
Ujjain,2025-10-03,October,20.15,469.6
Ujjain,2025-10-04,October,25.07,444.28
Ujjain,2025-10-05,October,22.23,459.03
Ujjain,2025-10-06,October,26.91,351.73
Ujjain,2025-10-07,October,27.79,439.72
Ujjain,2025-10-08,October,24.15,476.16
Ujjain,2025-10-09,October,26.43,370.1
Ujjain,2025-10-10,October,23.87,360.81
Ujjain,2025-10-11,October,27.89,410.9
Ujjain,2025-10-12,October,21.57,468.18
Ujjain,2025-10-13,October,23.8,473.76
Ujjain,2025-10-14,October,23.22,453.48
Ujjain,2025-10-15,October,24.5,424.78
Ujjain,2025-10-16,October,25.94,496.63
Ujjain,2025-10-17,October,24.06,488.87
Ujjain,2025-10-18,October,26.75,376.72
Ujjain,2025-10-19,October,27.42,422.16
Ujjain,2025-10-20,October,22.14,478.58
Ujjain,2025-10-21,October,21.03,493.75
Ujjain,2025-10-22,October,23.6,492.9
Ujjain,2025-10-23,October,27.61,437.75
Ujjain,2025-10-24,October,26.23,389.53
Ujjain,2025-10-25,October,27.15,416.53
Ujjain,2025-10-26,October,23.85,474.53
Ujjain,2025-10-27,October,23.35,470.49
Ujjain,2025-10-28,October,25.68,499.9
Ujjain,2025-10-29,October,27.36,374.4
Ujjain,2025-10-30,October,25.08,350.21
Ujjain,2025-10-31,October,22.35,453.45
Ujjain,2025-11-01,November,27.0,495.71
Ujjain,2025-11-02,November,27.7,451.69
Ujjain,2025-11-03,November,27.55,362.13
Ujjain,2025-11-04,November,23.12,465.09
Ujjain,2025-11-05,November,25.34,412.5
Ujjain,2025-11-06,November,23.79,387.52
Ujjain,2025-11-07,November,22.84,414.18
Ujjain,2025-11-08,November,20.11,471.87
Ujjain,2025-11-09,November,24.12,443.28
Ujjain,2025-11-10,November,21.0,454.55
Ujjain,2025-11-11,November,23.15,368.9
Ujjain,2025-11-12,November,24.76,383.71
Ujjain,2025-11-13,November,22.04,376.0
Ujjain,2025-11-14,November,25.34,493.35
Ujjain,2025-11-15,November,24.18,408.3
Ujjain,2025-11-16,November,25.15,445.97
Ujjain,2025-11-17,November,25.2,397.1
Ujjain,2025-11-18,November,23.94,406.06
Ujjain,2025-11-19,November,26.84,499.9
Ujjain,2025-11-20,November,25.7,440.88
Ujjain,2025-11-21,November,20.61,423.58
Ujjain,2025-11-22,November,27.83,381.2
Ujjain,2025-11-23,November,24.09,355.52
Ujjain,2025-11-24,November,26.7,424.37
Ujjain,2025-11-25,November,27.65,435.95
Ujjain,2025-11-26,November,22.18,460.09
Ujjain,2025-11-27,November,22.08,452.94
Ujjain,2025-11-28,November,20.6,374.47
Ujjain,2025-11-29,November,21.21,378.54
Ujjain,2025-11-30,November,22.53,428.37
Ujjain,2025-12-01,December,23.11,360.43
Ujjain,2025-12-02,December,22.74,433.07
Ujjain,2025-12-03,December,21.58,491.83
Ujjain,2025-12-04,December,24.01,367.69
Ujjain,2025-12-05,December,20.15,374.9
Ujjain,2025-12-06,December,22.51,492.95
Ujjain,2025-12-07,December,24.59,433.32
Ujjain,2025-12-08,December,23.8,452.06
Ujjain,2025-12-09,December,21.56,416.07
Ujjain,2025-12-10,December,27.66,438.09
Ujjain,2025-12-11,December,22.69,417.23
Ujjain,2025-12-12,December,25.89,362.92
Ujjain,2025-12-13,December,23.29,446.02
Ujjain,2025-12-14,December,24.43,363.87
Ujjain,2025-12-15,December,20.17,464.21
Ujjain,2025-12-16,December,26.13,476.47
Ujjain,2025-12-17,December,22.73,386.61
Ujjain,2025-12-18,December,22.7,438.51
Ujjain,2025-12-19,December,23.24,427.28
Ujjain,2025-12-20,December,27.26,389.95
Ujjain,2025-12-21,December,21.23,372.14
Ujjain,2025-12-22,December,20.67,467.86
Ujjain,2025-12-23,December,25.07,431.15
Ujjain,2025-12-24,December,25.08,432.87
Ujjain,2025-12-25,December,23.34,385.79
Ujjain,2025-12-26,December,24.42,379.26
Ujjain,2025-12-27,December,27.6,405.84
Ujjain,2025-12-28,December,21.21,376.85
Ujjain,2025-12-29,December,22.51,391.39
Ujjain,2025-12-30,December,25.74,437.27
Ujjain,2025-12-31,December,26.55,467.65
Sagar,2025-01-01,January,20.14,426.31
Sagar,2025-01-02,January,23.78,477.1
Sagar,2025-01-03,January,26.65,424.3
Sagar,2025-01-04,January,22.02,447.18
Sagar,2025-01-05,January,22.35,356.57
Sagar,2025-01-06,January,25.58,412.79
Sagar,2025-01-07,January,21.37,452.24
Sagar,2025-01-08,January,23.96,466.56
Sagar,2025-01-09,January,27.34,495.22
Sagar,2025-01-10,January,23.35,372.64
Sagar,2025-01-11,January,27.13,456.17
Sagar,2025-01-12,January,23.42,452.94
Sagar,2025-01-13,January,25.67,437.15
Sagar,2025-01-14,January,27.62,409.71
Sagar,2025-01-15,January,27.73,421.38
Sagar,2025-01-16,January,27.54,419.98
Sagar,2025-01-17,January,21.06,368.69
Sagar,2025-01-18,January,22.59,374.91
Sagar,2025-01-19,January,26.75,444.99
Sagar,2025-01-20,January,27.67,407.51
Sagar,2025-01-21,January,20.01,370.05
Sagar,2025-01-22,January,22.83,395.12
Sagar,2025-01-23,January,25.89,431.17
Sagar,2025-01-24,January,21.01,439.94
Sagar,2025-01-25,January,21.08,379.1
Sagar,2025-01-26,January,23.3,389.94
Sagar,2025-01-27,January,25.21,483.47
Sagar,2025-01-28,January,22.04,371.27
Sagar,2025-01-29,January,24.8,425.78
Sagar,2025-01-30,January,27.18,353.0
Sagar,2025-01-31,January,24.97,391.6
Sagar,2025-02-01,February,21.32,453.88
Sagar,2025-02-02,February,22.9,374.67
Sagar,2025-02-03,February,26.03,360.29
Sagar,2025-02-04,February,23.13,402.79
Sagar,2025-02-05,February,23.5,421.21
Sagar,2025-02-06,February,27.74,403.65
Sagar,2025-02-07,February,20.15,392.63
Sagar,2025-02-08,February,25.48,386.15
Sagar,2025-02-09,February,22.39,389.24
Sagar,2025-02-10,February,22.18,479.08
Sagar,2025-02-11,February,27.95,387.19
Sagar,2025-02-12,February,22.09,447.95
Sagar,2025-02-13,February,20.3,474.32
Sagar,2025-02-14,February,25.08,411.21
Sagar,2025-02-15,February,27.43,434.12
Sagar,2025-02-16,February,25.33,398.52
Sagar,2025-02-17,February,21.13,361.83
Sagar,2025-02-18,February,22.9,410.89
Sagar,2025-02-19,February,23.77,450.76
Sagar,2025-02-20,February,20.73,430.0
Sagar,2025-02-21,February,27.91,360.62
Sagar,2025-02-22,February,22.2,437.75
Sagar,2025-02-23,February,26.82,493.24
Sagar,2025-02-24,February,20.78,499.28
Sagar,2025-02-25,February,24.66,476.98
Sagar,2025-02-26,February,26.4,471.04
Sagar,2025-02-27,February,22.79,433.35
Sagar,2025-02-28,February,24.21,385.83
Sagar,2025-03-01,March,34.74,460.61
Sagar,2025-03-02,March,31.32,463.84
Sagar,2025-03-03,March,28.15,598.5
Sagar,2025-03-04,March,29.69,505.3
Sagar,2025-03-05,March,29.61,583.71
Sagar,2025-03-06,March,32.53,473.92
Sagar,2025-03-07,March,34.9,493.71
Sagar,2025-03-08,March,28.73,479.47
Sagar,2025-03-09,March,34.46,470.09
Sagar,2025-03-10,March,30.58,508.78
Sagar,2025-03-11,March,34.75,483.05
Sagar,2025-03-12,March,28.7,529.37
Sagar,2025-03-13,March,30.12,576.38
Sagar,2025-03-14,March,30.58,576.17
Sagar,2025-03-15,March,30.84,563.79
Sagar,2025-03-16,March,28.77,494.62
Sagar,2025-03-17,March,29.17,461.39
Sagar,2025-03-18,March,30.38,592.73
Sagar,2025-03-19,March,33.64,461.18
Sagar,2025-03-20,March,31.47,493.14
Sagar,2025-03-21,March,29.56,489.74
Sagar,2025-03-22,March,30.37,515.94
Sagar,2025-03-23,March,28.46,469.01
Sagar,2025-03-24,March,33.11,567.35
Sagar,2025-03-25,March,34.33,499.0
Sagar,2025-03-26,March,29.45,536.14
Sagar,2025-03-27,March,28.92,543.46
Sagar,2025-03-28,March,31.18,491.27
Sagar,2025-03-29,March,29.71,570.55
Sagar,2025-03-30,March,29.54,466.7
Sagar,2025-03-31,March,30.07,590.91
Sagar,2025-04-01,April,36.36,599.16
Sagar,2025-04-02,April,40.01,579.55
Sagar,2025-04-03,April,39.6,649.5
Sagar,2025-04-04,April,37.73,743.62
Sagar,2025-04-05,April,40.85,562.35
Sagar,2025-04-06,April,35.99,733.76
Sagar,2025-04-07,April,42.66,673.29
Sagar,2025-04-08,April,37.71,691.75
Sagar,2025-04-09,April,43.5,622.52
Sagar,2025-04-10,April,37.86,742.74
Sagar,2025-04-11,April,34.04,558.13
Sagar,2025-04-12,April,37.05,737.7
Sagar,2025-04-13,April,42.52,561.73
Sagar,2025-04-14,April,43.4,655.0
Sagar,2025-04-15,April,43.15,614.43
Sagar,2025-04-16,April,43.54,643.86
Sagar,2025-04-17,April,39.9,634.98
Sagar,2025-04-18,April,35.63,651.1
Sagar,2025-04-19,April,41.6,558.26
Sagar,2025-04-20,April,42.76,570.53
Sagar,2025-04-21,April,36.92,556.93
Sagar,2025-04-22,April,38.97,711.86
Sagar,2025-04-23,April,40.96,581.43
Sagar,2025-04-24,April,36.14,575.73
Sagar,2025-04-25,April,43.42,677.29
Sagar,2025-04-26,April,41.13,637.82
Sagar,2025-04-27,April,41.9,639.15
Sagar,2025-04-28,April,39.57,693.6
Sagar,2025-04-29,April,41.0,658.64
Sagar,2025-04-30,April,36.79,704.3
Sagar,2025-05-01,May,37.77,579.51
Sagar,2025-05-02,May,41.14,741.42
Sagar,2025-05-03,May,40.38,734.62
Sagar,2025-05-04,May,34.13,703.48
Sagar,2025-05-05,May,34.97,560.32
Sagar,2025-05-06,May,43.56,648.19
Sagar,2025-05-07,May,34.26,729.1
Sagar,2025-05-08,May,41.89,746.46
Sagar,2025-05-09,May,41.41,693.26
Sagar,2025-05-10,May,37.17,557.24
Sagar,2025-05-11,May,37.46,727.78
Sagar,2025-05-12,May,40.79,731.91
Sagar,2025-05-13,May,40.4,720.88
Sagar,2025-05-14,May,43.28,738.32
Sagar,2025-05-15,May,35.56,668.06
Sagar,2025-05-16,May,38.7,672.73
Sagar,2025-05-17,May,34.89,642.08
Sagar,2025-05-18,May,35.09,631.45
Sagar,2025-05-19,May,43.74,713.18
Sagar,2025-05-20,May,35.41,696.94
Sagar,2025-05-21,May,34.81,719.26
Sagar,2025-05-22,May,43.89,670.15
Sagar,2025-05-23,May,41.66,596.1
Sagar,2025-05-24,May,42.86,732.81
Sagar,2025-05-25,May,38.85,693.95
Sagar,2025-05-26,May,39.11,621.14
Sagar,2025-05-27,May,41.86,713.37
Sagar,2025-05-28,May,42.92,616.98
Sagar,2025-05-29,May,42.04,714.9
Sagar,2025-05-30,May,37.77,615.85
Sagar,2025-05-31,May,34.73,727.72
Sagar,2025-06-01,June,42.51,648.92
Sagar,2025-06-02,June,38.51,589.51
Sagar,2025-06-03,June,39.82,618.22
Sagar,2025-06-04,June,36.92,653.48
Sagar,2025-06-05,June,40.91,567.2
Sagar,2025-06-06,June,40.26,684.97
Sagar,2025-06-07,June,38.19,583.09
Sagar,2025-06-08,June,37.36,665.3
Sagar,2025-06-09,June,36.52,587.0
Sagar,2025-06-10,June,34.11,632.87
Sagar,2025-06-11,June,41.12,582.52
Sagar,2025-06-12,June,37.67,565.59
Sagar,2025-06-13,June,40.2,714.33
Sagar,2025-06-14,June,41.14,621.38
Sagar,2025-06-15,June,38.32,711.54
Sagar,2025-06-16,June,36.67,741.03
Sagar,2025-06-17,June,35.91,661.49
Sagar,2025-06-18,June,36.3,671.1
Sagar,2025-06-19,June,40.17,695.26
Sagar,2025-06-20,June,37.59,632.27
Sagar,2025-06-21,June,35.76,605.53
Sagar,2025-06-22,June,38.43,738.77
Sagar,2025-06-23,June,35.43,712.51
Sagar,2025-06-24,June,39.25,667.83
Sagar,2025-06-25,June,35.66,647.29
Sagar,2025-06-26,June,41.31,678.53
Sagar,2025-06-27,June,35.97,586.59
Sagar,2025-06-28,June,38.74,566.5
Sagar,2025-06-29,June,42.34,650.04
Sagar,2025-06-30,June,34.79,630.6
Sagar,2025-07-01,July,43.16,603.01
Sagar,2025-07-02,July,43.15,659.17
Sagar,2025-07-03,July,40.7,582.41
Sagar,2025-07-04,July,37.14,581.41
Sagar,2025-07-05,July,34.1,570.77
Sagar,2025-07-06,July,43.6,585.91
Sagar,2025-07-07,July,35.95,720.84
Sagar,2025-07-08,July,35.39,598.06
Sagar,2025-07-09,July,35.95,585.65
Sagar,2025-07-10,July,42.18,710.15
Sagar,2025-07-11,July,38.63,741.2
Sagar,2025-07-12,July,34.55,725.69
Sagar,2025-07-13,July,35.08,576.91
Sagar,2025-07-14,July,41.73,638.55
Sagar,2025-07-15,July,39.22,574.0
Sagar,2025-07-16,July,38.73,568.15
Sagar,2025-07-17,July,42.64,663.39
Sagar,2025-07-18,July,38.15,697.94
Sagar,2025-07-19,July,37.05,625.51
Sagar,2025-07-20,July,40.5,627.74
Sagar,2025-07-21,July,38.67,558.55
